id,number,street,city,state,postalCode,price
89,0194,Ronald Regan,New York City,NY,10292,442248.55
90,1,Farragut,Peoria,IL,61614,141612.71
91,53,Gale,Norfolk,VA,23509,314923.58
92,3,Utah,Dallas,TX,75205,484629.57
93,5453,School,Decatur,GA,30089,56181.89
94,43872,Judy,Los Angeles,CA,90045,91458.34
95,7,Farragut,Houston,TX,77271,367536.75
96,60,Hanson,Gaithersburg,MD,20883,330744.35
97,644,Ruskin,Charleston,WV,25313,242422.46
98,2335,Johnson,Lafayette,LA,70505,290575.0
99,47066,Bellgrove,Washington,DC,20220,270066.22
100,0281,Pleasure,San Diego,CA,92127,106853.15
101,953,Lerdahl,Little Rock,AR,72204,252372.48
102,5715,Dorton,New Orleans,LA,70142,166584.67
103,084,Washington,Cleveland,OH,44197,462815.56
104,25,Banding,Boston,MA,02109,197042.9
105,8,Oriole,Jersey City,NJ,07305,187081.28
106,392,Crest Line,Columbus,OH,43226,157432.72
107,9,Northridge,Savannah,GA,31410,152412.28
108,3234,Kingsford,Portland,OR,97255,193979.17
109,4,Dennis,San Francisco,CA,94169,332433.81
110,4874,Marquette,Brooklyn,NY,11254,64873.7
111,4,Hintze,Springfield,IL,62794,291788.17
112,49852,Birchwood,Ocala,FL,34474,248488.16
113,0,Reindahl,Baltimore,MD,21282,59103.92
114,726,Portage,Houston,TX,77030,468026.25
115,91,Sullivan,Rockford,IL,61105,329310.71
116,5,Buhler,San Antonio,TX,78215,96145.39
117,708,Gina,Washington,DC,20392,111390.44
118,9,Melvin,Reno,NV,89519,241532.83
119,52,Sommers,New Bedford,MA,02745,132322.99
120,28,East,Brooklyn,NY,11231,183114.71
121,5843,Reinke,Kansas City,MO,64136,268100.73
122,52,Surrey,Charlottesville,VA,22903,401285.83
123,11521,Chinook,Staten Island,NY,10310,242512.19
124,191,Northland,San Diego,CA,92153,372470.07
125,5,Towne,Milwaukee,WI,53220,344858.51
126,50,Butterfield,Carol Stream,IL,60158,246029.82
127,84799,Commercial,Mobile,AL,36610,70668.56
128,3111,Miller,Charlotte,NC,28235,403677.32
129,595,Hudson,Oceanside,CA,92056,320110.28
130,02238,Arizona,Louisville,KY,40293,251511.37
131,525,Hudson,Philadelphia,PA,19131,449460.0
132,16,Morningstar,Omaha,NE,68164,189783.98
133,6,Summerview,Reston,VA,22096,87974.51
134,97861,Spenser,Murfreesboro,TN,37131,387234.36
135,02058,Ronald Regan,West Palm Beach,FL,33416,457402.95
136,63745,Fremont,Daytona Beach,FL,32128,239656.38
137,47,Barby,Fort Wayne,IN,46825,463419.4
138,8,Kedzie,Los Angeles,CA,90065,337172.67
139,087,Scoville,Saint Louis,MO,63158,332447.32
140,891,Jenna,Baltimore,MD,21229,172474.59
141,502,Redwing,Los Angeles,CA,90025,130122.71
142,20,Rusk,North Las Vegas,NV,89087,109075.36
143,02,Stone Corner,Houston,TX,77050,192189.19
144,3891,Brown,Washington,DC,20599,303840.61
145,04689,Quincy,Tampa,FL,33647,407390.45
146,7347,Susan,Los Angeles,CA,90030,389466.49
147,87900,Heath,Sioux Falls,SD,57198,350162.53
148,3749,3rd,Jackson,TN,38308,362135.14
149,7345,Nelson,Lexington,KY,40576,444519.55
150,3547,Elmside,North Hollywood,CA,91606,63246.49
151,9,Havey,Fort Myers,FL,33994,450813.0
152,34,Helena,Denver,CO,80243,150950.61
153,8,Pleasure,Kansas City,MO,64130,185393.99
154,641,Sunbrook,Honolulu,HI,96820,190810.66
155,44,Clemons,North Little Rock,AR,72199,125247.77
156,86614,Manitowish,Corpus Christi,TX,78410,193116.12
157,2,Hazelcrest,Memphis,TN,38197,85321.19
158,281,Jana,Salt Lake City,UT,84140,94771.91
159,652,Mariners Cove,San Diego,CA,92121,310573.69
160,5,Eagle Crest,Saint Louis,MO,63121,426211.0
161,3,Straubel,New York City,NY,10160,214611.46
162,7,Swallow,Riverside,CA,92519,238360.07
163,9,Melrose,Alexandria,VA,22301,51934.37
164,4,Bonner,Birmingham,AL,35225,238702.63
165,3175,Meadow Valley,Santa Monica,CA,90410,131861.67
166,4,Dapin,Dallas,TX,75367,447600.97
167,5392,Trailsway,Boise,ID,83716,100975.37
168,6049,Raven,Denton,TX,76210,187755.28
169,719,Schlimgen,Huntsville,AL,35895,142370.55
170,6301,Comanche,Huntsville,TX,77343,150368.75
171,5,Oakridge,Newark,DE,19714,345289.86
172,8140,Montana,Corpus Christi,TX,78410,455985.87
173,0,Troy,Philadelphia,PA,19115,188231.21
174,40568,Gulseth,Oakland,CA,94627,489842.73
175,040,Summer Ridge,Oklahoma City,OK,73152,241075.87
176,2,Nancy,Gainesville,GA,30506,146432.1
177,766,Northridge,Omaha,NE,68144,437752.6
178,02,Dottie,San Jose,CA,95173,294608.89
179,7,Golf View,Terre Haute,IN,47805,156729.17
180,2,Delaware,Charleston,WV,25356,227606.9
181,98631,Mallard,Daytona Beach,FL,32123,185022.74
182,7234,Welch,Miami,FL,33158,58219.18
183,3,Loftsgordon,Kansas City,MO,64193,183761.15
184,17,Declaration,New Orleans,LA,70160,478720.76
185,9,Vera,Charlotte,NC,28278,97560.87
186,47,New Castle,Spartanburg,SC,29319,122295.22
187,915,Ridge Oak,Palatine,IL,60078,152063.58
188,99,Bunker Hill,Shawnee Mission,KS,66220,234802.11
189,6582,Sunfield,Flushing,NY,11355,274276.48
190,01,Buell,Fresno,CA,93773,254759.78
191,01,Nobel,Tampa,FL,33625,89499.66
192,65235,Sycamore,New Castle,PA,16107,134991.23
193,9,Lighthouse Bay,Brockton,MA,02405,263471.93
194,4,Sherman,Atlanta,GA,30368,368753.51
195,1709,Waywood,Washington,DC,20210,220998.13
196,657,Arkansas,Montgomery,AL,36114,486682.62
197,33256,Rieder,Buffalo,NY,14205,410786.17
198,6429,Randy,Glendale,AZ,85311,241317.04
199,7,Steensland,Orange,CA,92668,430414.0
200,93860,Porter,Mc Keesport,PA,15134,414829.3
201,17307,Lotheville,Aurora,CO,80015,252704.31
202,73510,Huxley,Nashville,TN,37215,399247.33
203,5,Sunnyside,Annapolis,MD,21405,213686.78
204,73,Annamark,Raleigh,NC,27690,312725.26
205,4430,Muir,Tyler,TX,75705,73194.23
206,1666,Summerview,Los Angeles,CA,90081,440558.22
207,12760,Linden,Raleigh,NC,27605,93159.83
208,653,Rowland,Baton Rouge,LA,70883,326268.64
209,0244,Butternut,Chicago,IL,60691,271776.92
210,35,Wayridge,El Paso,TX,79955,430531.74
211,13,Nobel,Cleveland,OH,44197,494545.89
212,12240,Pepper Wood,Los Angeles,CA,90005,229950.92
213,3900,Reindahl,Columbia,SC,29208,396004.16
214,023,Cottonwood,Portland,OR,97232,97319.16
215,5,Schiller,Kansas City,MO,64149,237935.19
216,5940,Maple,Independence,MO,64054,308958.6
217,3,Dennis,Washington,DC,20530,133342.51
218,117,Glacier Hill,Columbus,OH,43215,240397.14
219,241,Pankratz,Des Moines,IA,50393,215754.88
220,2,Warner,Murfreesboro,TN,37131,197035.87
221,65902,Fordem,Ventura,CA,93005,374850.2
222,08,Kings,Apache Junction,AZ,85219,447161.51
223,9893,Springview,Boulder,CO,80310,132909.11
224,9358,Havey,Gainesville,FL,32610,435862.07
225,25,Reinke,Scranton,PA,18505,52593.38
226,1,Waywood,Chicago,IL,60681,254959.34
227,1,Namekagon,Sacramento,CA,95852,230028.52
228,5098,Delladonna,Miami,FL,33196,58594.24
229,9,Pond,Miami,FL,33180,470018.28
230,8180,Warner,Minneapolis,MN,55441,131458.0
231,625,Ludington,San Diego,CA,92196,342307.67
232,433,Red Cloud,Sacramento,CA,95818,391991.37
233,85,Oak Valley,Jackson,TN,38308,395840.33
234,0,Manley,Bismarck,ND,58505,381685.33
235,5885,Upham,Miami,FL,33283,316028.0
236,3988,Riverside,Boise,ID,83716,252481.57
237,685,Raven,Minneapolis,MN,55428,462319.99
238,32032,Rigney,Fresno,CA,93726,381984.29
239,17,Lawn,Fort Wayne,IN,46852,226088.02
240,29,Claremont,Washington,DC,20220,276814.4
241,7,Trailsway,Atlanta,GA,31136,450613.79
242,22075,Holmberg,Saint Louis,MO,63126,58936.63
243,100,Norway Maple,Charlotte,NC,28225,244819.15
244,46,Pennsylvania,Burbank,CA,91520,82501.83
245,05,Graceland,Lakewood,WA,98498,391236.51
246,7,Boyd,Kansas City,MO,64149,143821.27
247,124,Evergreen,Abilene,TX,79699,70664.02
248,2,Truax,San Antonio,TX,78285,311361.56
249,3075,Troy,Tampa,FL,33633,165743.82
250,4977,Melody,Charlotte,NC,28225,435842.95
251,71,School,Boca Raton,FL,33487,66168.08
252,125,American,Mobile,AL,36689,302139.68
253,65,3rd,Erie,PA,16510,433207.0
254,5701,Transport,Kansas City,MO,64199,149229.11
255,7,Artisan,Denver,CO,80255,147600.69
256,618,Buell,Salt Lake City,UT,84152,391658.33
257,2,Kedzie,Winston Salem,NC,27110,498126.03
258,27,Garrison,Round Rock,TX,78682,204586.11
259,148,Utah,Cleveland,OH,44130,298013.0
260,5,Sutteridge,Birmingham,AL,35290,88111.93
261,045,Stang,Honolulu,HI,96810,233020.6
262,6,Barby,El Paso,TX,88519,348125.28
263,195,Memorial,Reston,VA,22096,195950.4
264,94,Victoria,Kansas City,MO,64193,188839.68
265,80213,Kingsford,Newark,NJ,07104,484301.17
266,91,Badeau,San Jose,CA,95108,342603.1
267,42491,Almo,Trenton,NJ,08603,452958.41
268,785,Jenifer,Seminole,FL,34642,181552.01
269,78480,Hauk,Waltham,MA,02453,176332.43
270,74,Coolidge,Albuquerque,NM,87180,402150.99
271,970,Dovetail,Saint Louis,MO,63116,314557.4
272,76748,Spohn,Trenton,NJ,08608,487897.19
273,3835,Mayfield,Bakersfield,CA,93381,335804.79
274,22,Arkansas,Fort Lauderdale,FL,33315,313044.56
275,8150,Cottonwood,Baton Rouge,LA,70820,238151.74
276,7946,Randy,El Paso,TX,79905,207762.37
277,25665,Jenifer,Seattle,WA,98166,259638.06
278,5,International,Carson City,NV,89714,358831.59
279,294,Moulton,Miami,FL,33245,94549.78
280,46055,Linden,Miami,FL,33245,438876.2
281,4,Maple Wood,Roanoke,VA,24014,340293.31
282,68,Dryden,Saint Louis,MO,63126,169060.36
283,92439,Muir,Shawnee Mission,KS,66286,402151.19
284,92036,Longview,Fresno,CA,93721,360102.19
285,0,Harper,Brooklyn,NY,11247,317388.07
286,69045,Gerald,Brooklyn,NY,11254,355025.79
287,296,Surrey,Washington,DC,20088,76643.06
288,24747,Magdeline,Dallas,TX,75397,278457.2
289,46,Emmet,Columbus,GA,31998,220220.17
290,084,Grayhawk,Richmond,VA,23277,108717.19
291,72,Butterfield,Little Rock,AR,72231,375123.44
292,945,Florence,Topeka,KS,66617,347368.91
293,71629,Crowley,Indianapolis,IN,46207,224802.34
294,45208,Talisman,Norman,OK,73071,185379.42
295,50,Artisan,Pittsburgh,PA,15230,177920.93
296,564,Bluestem,Oakland,CA,94627,435342.36
297,4768,Doe Crossing,Albuquerque,NM,87195,331525.8
298,8185,Darwin,Las Vegas,NV,89110,132039.93
299,64086,6th,Rochester,NY,14683,280253.34
300,30,Scott,San Rafael,CA,94913,147018.79
301,73,South,Laurel,MD,20709,264622.1
302,042,Wayridge,Peoria,IL,61629,418580.96
303,869,Kennedy,Sacramento,CA,94297,364347.04
304,9,Browning,Indianapolis,IN,46207,379974.01
305,98,Weeping Birch,Maple Plain,MN,55572,469122.49
306,761,Sundown,Madison,WI,53726,234539.73
307,27441,Butterfield,Miami,FL,33175,117409.5
308,64820,Becker,Atlanta,GA,30340,352864.37
309,245,Fulton,Phoenix,AZ,85072,497400.9
310,220,Northland,Lakewood,WA,98498,450442.2
311,7,Alpine,Washington,DC,20029,204408.41
312,54259,Service,Amarillo,TX,79171,345633.09
313,477,Hanson,Macon,GA,31210,426732.79
314,282,Norway Maple,Evansville,IN,47725,297827.0
315,50552,Oak,New York City,NY,10014,311588.13
316,39,Anthes,Richmond,VA,23272,322146.37
317,18211,Toban,Richmond,VA,23242,184366.35
318,026,Drewry,Hialeah,FL,33013,419138.55
319,71915,Almo,Springfield,IL,62776,262394.0
320,73774,Becker,Tucson,AZ,85748,194332.06
321,91415,Mifflin,Portland,OR,97271,381618.9
322,15,Lakewood,Columbus,OH,43284,241968.37
323,956,Johnson,Shawnee Mission,KS,66210,407119.42
324,8,Starling,Mesa,AZ,85205,426327.51
325,79,Quincy,Orange,CA,92867,190072.14
326,524,Bunker Hill,Dayton,OH,45432,303300.6
327,679,Stang,Canton,OH,44710,156443.44
328,78244,Declaration,Jamaica,NY,11407,369336.71
329,1601,Waywood,Flushing,NY,11388,262620.87
330,3189,Shasta,Dallas,TX,75241,58368.79
331,0,Graceland,Pittsburgh,PA,15255,357646.49
332,17119,Farmco,Sioux City,IA,51105,175738.84
333,1,Nobel,Washington,DC,20022,216691.37
334,9,Sachtjen,Pittsburgh,PA,15261,194462.11
335,177,Oxford,Springfield,IL,62776,60002.76
336,68,Portage,East Saint Louis,IL,62205,364511.78
337,035,Morning,Erie,PA,16522,370539.96
338,80252,Canary,Miami,FL,33175,159875.68
339,37,Erie,Buffalo,NY,14215,399120.9
340,8194,La Follette,Sioux Falls,SD,57193,308535.93
341,2441,Ruskin,Sacramento,CA,95852,171922.6
342,644,Walton,Baltimore,MD,21290,246600.0
343,05139,Pierstorff,Fort Worth,TX,76198,385338.21
344,927,Rutledge,New York City,NY,10110,109649.12
345,4649,Roxbury,Tacoma,WA,98464,107938.28
346,0,Rockefeller,Raleigh,NC,27621,70104.93
347,9843,Surrey,Sioux Falls,SD,57105,275632.83
348,19,Darwin,Washington,DC,20525,259199.96
349,0,Bluejay,Tucson,AZ,85743,424063.17
350,590,Birchwood,Louisville,KY,40287,273898.9
351,44,Bartillon,Dallas,TX,75379,378592.42
352,2,Rigney,Pittsburgh,PA,15279,447391.12
353,8,Gina,Fresno,CA,93786,491912.64
354,8457,Kensington,New York City,NY,10155,196972.55
355,22046,Calypso,Columbia,MO,65218,269109.19
356,93858,Pennsylvania,Atlanta,GA,31106,385567.8
357,82,Dennis,Las Vegas,NV,89178,491190.25
358,11596,Homewood,Clearwater,FL,34629,75274.31
359,8,Hovde,Tyler,TX,75710,101148.57
360,5250,Quincy,New York City,NY,10009,348123.08
361,5253,Monument,Mobile,AL,36641,220092.58
362,159,Straubel,Buffalo,NY,14276,147697.96
363,15,Barby,Washington,DC,20051,167865.61
364,62562,Village,York,PA,17405,400371.98
365,21,Sage,Odessa,TX,79769,104355.45
366,8198,Center,New Orleans,LA,70149,295232.74
367,73478,Corry,Albany,NY,12262,488372.64
368,7292,Hauk,Syracuse,NY,13210,467860.56
369,47248,Springs,Jersey City,NJ,07305,258234.94
370,23,Anthes,Columbia,SC,29240,276682.66
371,619,Graedel,Shawnee Mission,KS,66210,448804.0
372,6521,Pierstorff,Orange,CA,92668,99653.14
373,68607,Ridgeview,Fort Lauderdale,FL,33330,254130.93
374,82,Calypso,San Diego,CA,92191,198570.0
375,03,Stephen,Houston,TX,77090,367715.24
376,4482,Moland,San Francisco,CA,94132,407333.81
377,6548,Lillian,Gatesville,TX,76598,193321.74
378,0523,Kensington,Buffalo,NY,14205,306044.42
379,1280,Stephen,Baltimore,MD,21216,499683.73
380,06276,Twin Pines,Memphis,TN,38131,294122.26
381,21903,Bellgrove,Tampa,FL,33647,167058.74
382,0799,7th,Durham,NC,27705,410252.72
383,68613,Weeping Birch,Greensboro,NC,27404,292052.61
384,199,Hoffman,Detroit,MI,48267,426200.79
385,974,Northwestern,Miami,FL,33153,225199.68
386,7,Myrtle,Macon,GA,31296,273971.85
387,01,Mcbride,San Jose,CA,95150,352695.11
388,22582,Utah,Houston,TX,77065,424270.31
389,09634,Di Loreto,Springfield,MA,01152,368481.42
390,38,Comanche,Spring,TX,77386,371128.83
391,08,Pennsylvania,Woburn,MA,01813,240443.56
392,569,Continental,Wichita,KS,67230,403783.31
393,525,Johnson,Durham,NC,27717,264731.55
394,55,High Crossing,Tulsa,OK,74133,137863.56
395,7,Packers,Brooklyn,NY,11205,139967.48
396,44,Pond,Houston,TX,77085,262104.43
397,7,Harbort,Tampa,FL,33610,310932.33
398,654,Birchwood,Valdosta,GA,31605,347810.3
399,14,Kenwood,Kansas City,KS,66105,242933.58
400,7467,Waubesa,Brooklyn,NY,11215,290386.07
401,33,Stuart,Madison,WI,53710,284786.78
402,3,Merry,Macon,GA,31217,148660.81
403,3,Tennyson,Saint Louis,MO,63110,414090.76
404,363,Roxbury,Flushing,NY,11355,129401.18
405,7,Valley Edge,Reading,PA,19610,224341.67
406,25259,Dawn,Jacksonville,FL,32215,111460.86
407,85004,Burning Wood,Seattle,WA,98166,207166.67
408,98994,Aberg,New Hyde Park,NY,11044,79152.71
409,6,Arizona,San Antonio,TX,78215,241424.53
410,2,Forest Dale,Omaha,NE,68105,495725.16
411,2282,Alpine,Buffalo,NY,14215,98955.92
412,26,Prairieview,Glendale,AZ,85311,412613.3
413,25793,Dakota,Milwaukee,WI,53215,378456.22
414,066,7th,Carlsbad,CA,92013,109172.93
415,0223,Novick,Chico,CA,95973,233673.95
416,5652,Muir,Bakersfield,CA,93311,410131.77
417,811,Dryden,Louisville,KY,40210,160675.13
418,3,Transport,Lancaster,PA,17605,61673.52
419,80835,Mitchell,Brooklyn,NY,11241,109003.18
420,3,Vernon,New Orleans,LA,70142,195402.56
421,2160,Ramsey,Saint Louis,MO,63143,414858.43
422,03442,Nobel,Jacksonville,FL,32215,488771.85
423,9,8th,Dayton,OH,45419,343303.8
424,74222,Butternut,Greensboro,NC,27404,108096.1
425,1,Kedzie,Rockford,IL,61105,123070.08
426,827,Summit,Dayton,OH,45403,204156.43
427,13,Arkansas,Louisville,KY,40210,266602.93
428,1,Portage,Los Angeles,CA,90071,257831.46
429,114,Sunnyside,Stockton,CA,95205,318271.53
430,88,Corben,New York City,NY,10125,438521.58
431,68,Lunder,Seattle,WA,98104,239445.67
432,30393,Lakeland,Gulfport,MS,39505,137230.41
433,567,Lukken,Texarkana,TX,75507,496863.8
434,0784,Heath,Corpus Christi,TX,78426,300679.84
435,0140,Summit,Hartford,CT,06183,493461.03
436,68716,Crest Line,Kansas City,MO,64149,154817.49
437,94704,Fairfield,Raleigh,NC,27690,499915.52
438,41,Nelson,Nashville,TN,37210,56764.52
439,7706,Killdeer,Hartford,CT,06152,482897.99
440,87525,Clove,Kent,WA,98042,175145.72
441,73,East,Honolulu,HI,96825,136797.03
442,13028,Logan,Fayetteville,NC,28314,497657.0
443,824,Spenser,Des Moines,IA,50305,332282.2
444,82,Texas,Jacksonville,FL,32215,292601.72
445,50,Kensington,New Hyde Park,NY,11044,350284.89
446,4,American,Dulles,VA,20189,83439.93
447,2,Truax,Philadelphia,PA,19146,245647.4
448,850,Del Mar,Austin,TX,78732,401465.84
449,9,Eggendart,Vienna,VA,22184,480255.88
450,4,2nd,Kansas City,MO,64101,422396.69
451,40900,Bartillon,Valley Forge,PA,19495,353859.57
452,5,Valley Edge,Chicago,IL,60609,179783.73
453,9349,Hansons,Peoria,IL,61640,480393.83
454,49,Kropf,Kansas City,KS,66105,65327.91
455,741,3rd,Vienna,VA,22184,355012.52
456,70,Grover,Memphis,TN,38181,201652.39
457,3624,Del Sol,Norcross,GA,30092,471623.48
458,0,Di Loreto,Atlanta,GA,30306,293476.52
459,211,Delladonna,North Port,FL,34290,189682.95
460,81214,Vernon,Topeka,KS,66642,154957.22
461,6,Manley,Minneapolis,MN,55417,195679.24
462,190,Forest Dale,Los Angeles,CA,90035,60457.99
463,70,Derek,El Paso,TX,79968,257186.92
464,29222,Thackeray,Durham,NC,27710,333443.42
465,42505,Karstens,New York City,NY,10110,229415.99
466,3670,Scoville,Birmingham,AL,35220,261353.68
467,12845,Lawn,Midland,TX,79710,220594.78
468,1383,Calypso,Orlando,FL,32891,369332.91
469,33,Johnson,Cincinnati,OH,45254,65319.35
470,7,Morningstar,Memphis,TN,38136,121579.61
471,33332,Lindbergh,Oakland,CA,94616,200444.28
472,5932,Helena,Monticello,MN,55585,184877.16
473,0,Lukken,El Paso,TX,79968,121558.56
474,70012,Lukken,Fresno,CA,93778,167837.65
475,4720,Pierstorff,Port Washington,NY,11054,280794.27
476,35,Dwight,Memphis,TN,38114,482163.54
477,654,Steensland,Washington,DC,20470,123624.71
478,65,Anthes,Grand Junction,CO,81505,441448.81
479,5068,Melby,Jackson,TN,38308,274153.0
480,710,Buena Vista,Salem,OR,97306,448426.81
481,62380,Carey,Roanoke,VA,24040,166508.57
482,2211,Chive,Elizabeth,NJ,07208,130159.9
483,74,Judy,Memphis,TN,38109,179124.13
484,747,Bellgrove,Charlotte,NC,28242,286903.04
485,93,Toban,Lafayette,IN,47905,209295.14
486,2356,Melrose,Orlando,FL,32803,130182.11
487,85,Killdeer,New York City,NY,10115,88533.01
488,991,Shelley,Las Vegas,NV,89160,391923.4
489,96036,Transport,Tempe,AZ,85284,427577.45
490,95,Independence,Los Angeles,CA,90015,314545.66
491,3862,Kenwood,Hartford,CT,06145,126545.39
492,38,Anzinger,San Antonio,TX,78260,230195.0
493,736,Talisman,Syracuse,NY,13205,384703.15
494,258,East,Albany,GA,31704,145985.62
495,79453,David,North Las Vegas,NV,89036,196024.52
496,37,Talmadge,Bronx,NY,10464,263335.0
497,0705,Ramsey,Hayward,CA,94544,312121.34
498,27,Corben,Jacksonville,FL,32277,142386.21
499,226,Roxbury,Pittsburgh,PA,15261,461058.36
500,6845,Gulseth,Atlanta,GA,30356,331871.5
501,955,Jackson,Tucson,AZ,85732,295035.7
502,67508,Almo,Naples,FL,34114,63531.02
503,19,Fremont,San Diego,CA,92110,173971.76
504,389,Welch,Arlington,TX,76096,105589.19
505,79,Graceland,Fort Worth,TX,76105,393251.07
506,5,Northland,Tucson,AZ,85737,242407.57
507,48,Elka,Worcester,MA,01605,126404.64
508,04,Corben,Boston,MA,02124,498917.41
509,73,Melvin,Kansas City,MO,64160,394519.54
510,27,Service,Boulder,CO,80328,419001.97
511,2058,Dapin,Cincinnati,OH,45243,74979.08
512,252,Birchwood,Hamilton,OH,45020,374733.82
513,683,Erie,Columbus,OH,43231,436008.73
514,417,Bowman,Clearwater,FL,33758,337039.87
515,03,Glendale,Terre Haute,IN,47805,281131.82
516,4642,Farmco,Rockford,IL,61110,315842.07
517,49,Laurel,Saint Cloud,MN,56398,247553.31
518,6510,Sauthoff,Hagerstown,MD,21747,236087.73
519,835,Service,Wichita Falls,TX,76310,413547.59
520,184,Morrow,New York City,NY,10125,231942.89
521,2,Goodland,Salt Lake City,UT,84199,312393.44
522,64,Cordelia,Lexington,KY,40576,421350.5
523,333,Michigan,Charlotte,NC,28242,144983.75
524,6099,Northview,Modesto,CA,95354,254986.11
525,645,Center,Cleveland,OH,44185,333850.12
526,1,Dennis,Valley Forge,PA,19495,201070.4
527,033,Thackeray,Atlanta,GA,31196,89745.69
528,02,Huxley,Hayward,CA,94544,320691.04
529,4518,Sunnyside,Fresno,CA,93750,134136.49
530,85918,South,Columbus,MS,39705,265135.6
531,299,Gateway,Pasadena,CA,91199,90839.61
532,53,Bultman,Los Angeles,CA,90025,129005.66
